title,artist_name,artist_date,artwork_date,accession_num,art_medium,info_link,img_link
Calligraphy,Ma Desheng,"(Chinese, active in France, b.1952)",1987,2022.254 ,Hanging scroll; ink on rice paper,https://www.clevelandart.org/art/2022.254,https://piction.clevelandart.org/cma/ump.di?e=AFAE12574CDCF72D2F6F6E8962D8CC5A0CA693596042E1D4D937F47396CA56D2&s=24247294&se=787915836&v=3&f=%5Cd5843%5Cu315058438%5C2022.254_o10.jpg
Neither Mountain nor Water 1–5,He Sanqing,"(Chinese, b. 1988)",2016,2020.278 ,"Series of 5 woodblock prints, printed on xuan paper with water-soluble ink",https://www.clevelandart.org/art/2020.278,https://piction.clevelandart.org/cma/ump.di?e=04E5EB3170427BEDD62F5E493DAB6085E23C2DC7C4EE48ABE9A93A832B570DF9&s=24247294&se=458987476&v=1&f=%5Cd6491%5Cu242564912%5C2020.278_o10.jpg
Time Lapse,Qu Zuochun,"(Chinese, b. 1988)",2019,2021.7 ,"Woodblock print, ink on paper",https://www.clevelandart.org/art/2021.7,https://piction.clevelandart.org/cma/ump.di?e=123DD794C56D4CE01A797D316A9D931502F595CCF6B3841C02AA4AC08682DD47&s=24247294&se=458987476&v=1&f=%5Cd9123%5Cu244491234%5C2021.7_o10.jpg
Gloves – Mission 2,Xu Zhonghong,"(Chinese, b. 1991)",2018,2021.8 ,"Woodblock print, ink on paper",https://www.clevelandart.org/art/2021.8,https://piction.clevelandart.org/cma/ump.di?e=A499184A3B2E665E2EB98C4EC50C24E4AA290A6C38F68BFD63C8D43ABCB7C32C&s=24247294&se=458987476&v=1&f=%5Cd9130%5Cu244491302%5C2021.8_o10.jpg
Large Bowl with Molded Decoration,,,1300s–1400s,2020.188 ,Porcelaneous stoneware,https://www.clevelandart.org/art/2020.188,https://piction.clevelandart.org/cma/ump.di?e=FE84788792C5672A0C74E3CD124591418102179472FA2F8643AAA5B3168DE4D1&s=24247294&se=2107809423&v=1&f=%5Cd6339%5Cu220463398%5C2020.188_o10.jpg
Flat Dish Made of Marbled Clay,,,960–1234,2020.187 ,Stoneware with marbled clay and transparent glaze,https://www.clevelandart.org/art/2020.187,https://piction.clevelandart.org/cma/ump.di?e=FE84788792C5672A3340A0671BCF918A415050A4AB659B7E018158522D280F05&s=24247294&se=2107809423&v=1&f=%5Cd6333%5Cu220463332%5C2020.187_o10.jpg
Biodiversity 3,Li Yuxuan,"(Chinese, b. 1991)",2018,2021.9 ,"Woodblock print, ink on paper",https://www.clevelandart.org/art/2021.9,https://piction.clevelandart.org/cma/ump.di?e=5C825F8F7055A66C86F0D09207174BC086DC9EB6D0DD3621FB153514DA9D5CB2&s=24247294&se=458987476&v=1&f=%5Cd9137%5Cu244491376%5C2021.9_o10.jpg
Meiping Vase with carved Dragon Motif,,,1300s,2020.189 ,Porcelain with pale bluish-white (qingbai; 青白) glaze and carved decoration,https://www.clevelandart.org/art/2020.189,https://piction.clevelandart.org/cma/ump.di?e=FE84788792C5672AC15945A7CD3F86BCAB894A1C882BFCFB7D9D08E804C2BE5C&s=24247294&se=1004636471&v=1&f=%5Cd6326%5Cu220463266%5C2020.189_o10.jpg
Ding Ware Bowl of the Xing Type with Bi-Disc Foot,,,907–60,2020.186 ,White stoneware with ivory-white glaze,https://www.clevelandart.org/art/2020.186,https://piction.clevelandart.org/cma/ump.di?e=FE84788792C5672A95A0F3C59411284BB634367763F65BE21BFB4DC4F56CC8DC&s=24247294&se=1004636471&v=1&f=%5Cd5698%5Cu220456984%5C2020.186_o10.jpg
Mirror with Three Pairs of Pixie around a Loti-form Knob,,,mid-600s,1995.335 ,Bronze,https://www.clevelandart.org/art/1995.335,https://piction.clevelandart.org/cma/ump.di?e=6C7D896C051051E854302F819F26B3778FE3F1A85246C187AB761DADB6D78EB7&s=24247294&se=1784048109&v=3&f=1995.335_o10.jpg
Fishermen Plate,,,c. 1730,2021.146 ,Egg-shell porcelain with famille rose enamel overglaze decoration,https://www.clevelandart.org/art/2021.146,https://piction.clevelandart.org/cma/ump.di?e=08679C2AAA268BBD8B3D50B9DD807D712C5E55F0917A0548B574AC465CE5C3A2&s=24247294&se=913805914&v=3&f=%5Cd5006%5Cu255250062%5C2021.146_o10.jpg
Biodiversity 2,Li Yuxuan,"(Chinese, b. 1991)",2018,2021.10 ,"Woodblock print, ink on paper",https://www.clevelandart.org/art/2021.10,https://piction.clevelandart.org/cma/ump.di?e=5C825F8F7055A66C6D672F45814EB5BD9A427346304D6213BC44BEFF18A4F7C7&s=24247294&se=458987476&v=1&f=%5Cd9144%5Cu244491446%5C2021.10_o10.jpg
Lotus No. 12,Chen Qi,"(Chinese, b. 1963)",1995,2022.7 ,Multiblock woodcut printed with water-soluble ink,https://www.clevelandart.org/art/2022.7,https://piction.clevelandart.org/cma/ump.di?e=54BE784E916DEB71144646EF69F5997AABBA068D194B12F1BE3FA2CE19B3EA1E&s=24247294&se=458987476&v=3&f=%5Cd3158%5Cu262831582%5C2022.7_o10.jpg
Lotus No. 8,Chen Qi,"(Chinese, b. 1963)",1994,2022.6 ,Multi-block woodcut printed with water-soluble ink,https://www.clevelandart.org/art/2022.6,https://piction.clevelandart.org/cma/ump.di?e=54BE784E916DEB71746C01792753CE9A2EE560E43DE0E1277A815076A85BAAC7&s=24247294&se=458987476&v=3&f=%5Cd3151%5Cu262831510%5C2022.6_o10.jpg
"Cloisonné Enamel Tripod Censer, Cover, and Stand",,,1736–95,2.2022 ,"Cloisonné enamel, gilt bronze",https://www.clevelandart.org/art/2.2022,https://piction.clevelandart.org/cma/ump.di?e=2F6AAF04AAF64209814C6E0001B5064EF11D2CA35083A62D6E9F033F5FBD98EA&s=24247294&se=1004227365&v=3&f=%5Cd9320%5Cu260093204%5C2.2022_o10.jpg
Migrations of Memory-Wild Geese Descend on Level Sands IV no. 3,Peng Wei,"(Chinese, b. 1974)",2021,2022.4 ,Album leaf; ink and colors on flax paper,https://www.clevelandart.org/art/2022.4,https://piction.clevelandart.org/cma/ump.di?e=6493821750071DA8BDA35A9246FC2E5FE174DACAB68F6C8AD74CABFBE7CB05F4&s=24247294&se=458987476&v=3&f=%5Cd4484%5Cu281944840%5C2022.4_o10.jpg
"Migrations of Memory-Wild Geese Descend on Level Sands IV, no. 1",Peng Wei,"(Chinese, b. 1974)",2021,2022.5 ,Album leaf; ink and colors on flax paper,https://www.clevelandart.org/art/2022.5,https://piction.clevelandart.org/cma/ump.di?e=82DC77510C76ACB19FA682FFDD9CD4E30229AA897EFFC2942BA24CAD2CD59DB9&s=24247294&se=458987476&v=3&f=%5Cd4491%5Cu281944912%5C2022.5_o10.jpg
Urn with Lug Handles,,,c. 1300–1000 BC,1984.67 ,Earthenware with slip coating and painted decoration,https://www.clevelandart.org/art/1984.67,https://piction.clevelandart.org/cma/ump.di?e=FC31E14B72F2ECA888611A1F345597CD80DB5E25B0B6900121C628F7562967E1&s=24247294&se=935317823&v=1&f=%5Cd6605%5Cu2866059%5C1984.67_o10.jpg
Cupstand with Floral Scrolls,,,1368–1398,1984.162 ,Porcelain painted in underglaze red,https://www.clevelandart.org/art/1984.162,https://piction.clevelandart.org/cma/ump.di?e=E9F5B90E4A32527A72321E39AB6DC86EDF64EA28D94EB1CFB066D5560E1A6307&s=24247294&se=935317823&v=6&f=1984.162_o10.jpg
Fragment with a Head of Bodhisattva,,,c. 600–650,1985.14 ,Fresco,https://www.clevelandart.org/art/1985.14,https://piction.clevelandart.org/cma/ump.di?e=B5249C5C025392A42C76B1035FF225BB38D2088CD064F92ABC0146F1FB721234&s=24247294&se=935317823&v=0&f=1985.14_o10.jpg
Court Lady with Tall Headdress:  Tomb Figurine,,,c. 700–750,1983.24 ,Earthenware with polychromy,https://www.clevelandart.org/art/1983.24,https://piction.clevelandart.org/cma/ump.di?e=FC31E14B72F2ECA8E06771FD9A4C32D7EE1BB877CE595AA9A08CF40B07AEFF9F&s=24247294&se=860783020&v=0&f=1983.24_o10.jpg
Fragment with a Head of Bodhisattva,,,600–650,1985.15 ,Fresco,https://www.clevelandart.org/art/1985.15,https://piction.clevelandart.org/cma/ump.di?e=B5249C5C025392A4CCD12986C08616D822F1262E0D03AC83F0FF05A20D0AC214&s=24247294&se=935317823&v=0&f=1985.15_o10.jpg
Female Attendant (Tomb Figurine),,,c. 2nd Century BC,1983.6 ,Gray earthenware with slip coating and traces of polychromy,https://www.clevelandart.org/art/1983.6,https://piction.clevelandart.org/cma/ump.di?e=6481667D7D459096261552FD8C9F122995691C81FA4F126AF4F60DA23528BEC5&s=24247294&se=935317823&v=1&f=%5Cd5597%5Cu2855972%5C1983.6_o10.jpg
Seated Guanyin,,,late 1100s–1200s,1984.70 ,Wood with polychromy and gilding,https://www.clevelandart.org/art/1984.70,https://piction.clevelandart.org/cma/ump.di?e=FC31E14B72F2ECA80CBBE24E6BF297FFD5CFF601AA40A2433BB7DC3444CD5D7C&s=24247294&se=935317823&v=5&f=%5Cd5173%5Cu2851730%5C1984.70_o10.jpg
Eleven-Headed Guanyin,,,1100–1200,1981.53 ,Wood with polychromy and cut gold,https://www.clevelandart.org/art/1981.53,https://piction.clevelandart.org/cma/ump.di?e=142E990C56A1A86C76A1A7ACD71D3E9C2F5F1775EC771BF07A284931A21A4F7E&s=24247294&se=1701761758&v=3&f=%5Cd5408%5Cu259054082%5C1981.53_o10.jpg
Brush Washer in Shape of a Leaf,,,1723–35,1970.136 ,Porcelain with camellia-leaf green glaze,https://www.clevelandart.org/art/1970.136,https://piction.clevelandart.org/cma/ump.di?e=1F448EBE0D6107CF7ECC4F9DBF88917AF844A03362B4EF3577B02A3FE6893E0E&s=24247294&se=1413450621&v=6&f=1970.136_o10.jpg
Lion Dog,,,13th - 14th century,1970.135 ,Ivory,https://www.clevelandart.org/art/1970.135,https://piction.clevelandart.org/cma/ump.di?e=6481667D7D45909650D4F8ED0ADC759F3BAF7D731545424DC36EE8BEF6B34C81&s=24247294&se=1413450621&v=1&f=%5Cd5263%5Cu2952637%5C1970.135_o10.jpg
Thumb Ring,,,1736–95,1970.142 ,Jade,https://www.clevelandart.org/art/1970.142,https://piction.clevelandart.org/cma/ump.di?e=D7A560A63617380A14391842A434160DF0EA0A0396BED3A2687732A540958027&s=24247294&se=1413450621&v=0&f=1970.142_o10.jpg
Thumb Ring,,,1736–95,1970.140 ,Spinach green jade,https://www.clevelandart.org/art/1970.140,https://piction.clevelandart.org/cma/ump.di?e=D7A560A63617380A91528D5E2B6AB2C36BA064E7194902F87D4F1DF4003B9727&s=24247294&se=1413450621&v=0&f=1970.140_o10.jpg
Pair of Boxes in Form of Lotus Leaves,,,1700s,1970.137 ,Ivory,https://www.clevelandart.org/art/1970.137,https://piction.clevelandart.org/cma/ump.di?e=DF73A405762FDAD6F118E77092B1B7F6DC0A4F6EEE824DA1907A3FCF67673F17&s=24247294&se=1413450621&v=1&f=%5Cd4918%5Cu19049187%5C1970.137_o10.jpg
Thumb Ring,,,1736–95,1970.141 ,White jade,https://www.clevelandart.org/art/1970.141,https://piction.clevelandart.org/cma/ump.di?e=D7A560A63617380AE5CEC530C04BAC6CDA1E86C06E12249F888C4BCE3DEEECFD&s=24247294&se=1413450621&v=0&f=1970.141_o10.jpg
Vase: Guan type,,,1700s,1970.139 ,Porcelain,https://www.clevelandart.org/art/1970.139,https://piction.clevelandart.org/cma/ump.di?e=E9F5B90E4A32527A358865853165091952B5FF9ED253095CE422CF30CE75ECD2&s=24247294&se=1413450621&v=0&f=1970.139_o10.jpg
Snuff Bottle with Stopper,,,1736–95,1970.143 ,Jade,https://www.clevelandart.org/art/1970.143,https://piction.clevelandart.org/cma/ump.di?e=0EA08826AFAB664EF1108B3C9A2EE6F0ACF3A1E3104CC3DF05DE714CA55B0763&s=24247294&se=1413450621&v=0&f=1970.143_o10.jpg
Ornament - Bead,,,1736–1795,1970.148 ,Jade,https://www.clevelandart.org/art/1970.148,https://piction.clevelandart.org/cma/ump.di?e=D7A560A63617380AC43968F2411497489881E151667634E1F756CB029D5E9471&s=24247294&se=1413450621&v=0&f=1970.148_o10.jpg
Plate in the Form of a Chrysanthemum,,,1700s–1800s,1970.144 ,Jade,https://www.clevelandart.org/art/1970.144,https://piction.clevelandart.org/cma/ump.di?e=D7A560A63617380A906D5A5D8E2024A5A58E7CB219B26897AB1878D9E7735860&s=24247294&se=1413450621&v=0&f=1970.144_o10.jpg
Wrist Rest,,,1736–95,1970.145 ,Jade,https://www.clevelandart.org/art/1970.145,https://piction.clevelandart.org/cma/ump.di?e=D7A560A63617380A80B79572FC00D16995AF8E3C22817DD2678ED84F787A91DC&s=24247294&se=1413450621&v=0&f=1970.145_o10.jpg
Ornament - Wheel,,,1736–95,1970.147 ,White jade,https://www.clevelandart.org/art/1970.147,https://piction.clevelandart.org/cma/ump.di?e=D7A560A63617380AC2FA74AA2B8031919453CCE1BA329D97060B30B71771C0E9&s=24247294&se=1413450621&v=0&f=1970.147_o10.jpg
Pair of Seated Buddhas,,,1500s,1970.149 ,Gilt bronze,https://www.clevelandart.org/art/1970.149,https://piction.clevelandart.org/cma/ump.di?e=E4BBF3CC5A35C4175675807364E1BF3284209B1A09C4452C2CB13DE25D9955AA&s=24247294&se=1413450621&v=1&f=%5Cd2295%5Cu163122952%5C1970.149_o10.jpg
